rom GENESYM to affyhg
LXR	C19orf46
NeuroD	TNS4
STAT3	MIR494
TEF-1	ACTA1
STAT3	MIR495
TEF-1	TRAPPC6B
AP-2rep	MIR139
PU.1	UQCRQ
HNF4	CLCN6
TEF-1	ACTA2
ETS2	NPHS2
SF1	PAFAH1B3
ETS2	DRGX
ETS2	FLJ39582
NeuroD	FCRLA
ETS2	MST1
AP-2rep	SULT1C4
HMGIY	ZCCHC6
NeuroD	FCRLB
E47	ISCU
HNF4	MIR181A1
MAFA	NFE2
NeuroD	GRPR
ETS2	MST4
USF1	FAM129B
SOX10	RPP38
USF	GPS2
LBP-1	INTS1
AP-2rep	MT1JP
FXR	SHF
STAT4	LACTB2
ATF	RUNDC3A
GABP	ZFP3
PU.1	INPP5B
FXR	LIPH
LBP-1	INTS5
PU.1	INPP5D
LBP-1	ZNF326
NeuroD	C22orf31
NeuroD	C22orf32
HNF4	DDX50
NeuroD	C22orf33
HMGIY	AP1G1
HNF4	DDX51
YY1	MGC16121
USF	LCLAT1
FXR	LIPM
STAT6	PGAM2
PXR(PXR:RXR)	SRSF9
NURR1	VENTX
GR	FBLIM1
Ets	MAPK13
PU.1	INPP5J
NeuroD	C22orf36
HNF4	DDX54
RFX1	PRKACA
HNF4	DDX55
Tel-2	KLHL20
USF1	POGLUT1
GR	ADORA1
TEF-1	NUBP1
Tel-2	KLHL21
ETS2	KIAA0040
TEF-1	NUBP2
TEF-1	SEC23A
HNF4	ATP5B
Myc	ALMS1P
GR	ADORA3
STAT4	SENP8
CTCF	MRVI1
ETS2	ODF1
HMGIY	ST7OT1
NeuroD	ISY1-RAB43
HNF4	ATP5D
ETS2	ODF2
MEF-2	TMEM182
STAT4	KERA
HNF4	CELF1
HMGIY	ST7OT4
MAFA	COL5A1
ETS2	SORT1
HNF4	CELF2
HNF4	ATP5H
HNF4	CELF3
HNF4	CELF4
STAT6	C10orf53
SOX10	TPRKB
HNF4	ATP5J
STAT3	ENOX2
MAFA	DDX18
STAT6	C10orf54
NURR1	NSMCE2
HNF4	CELF6
YY1	SUPT16H
LEF1	PRRG2
IPF1	MIR1251
HNF4	ATP5L
OTX	HIST1H2BD
LBP-1	SMAP2
HNF4	MIR3193
EBF	CALR
HNF4	MIR3194
NURR1	C16orf78
HMGIY	TPM3
STAT6	C10orf58
TEF-1	C1orf21
HNF4	ATP5O
COUP	SERPINA1
HNF4	MIR3196
HMGIY	OXT
E2A	RAB5A
PXR(PXR:RXR)	EMCN
TEF-1	AHI1
HNF4	MIR3197
SOX4	TBRG1
AP-4	MIR1228
RORA_2	C10orf113
YY1	UTP14A
ATF3	UBA6
HNF4	ATP5S
COUP-TF	STOML2
TEF-1	C1orf27
SOX4	TBRG4
LBP-1	LARGE
TEF-1	FLJ32224
STAT3	SH2D3A
NeuroD	ZFP161
Nrf-1	LOC100506710
NFAT2	CADM1
YY1	LTA
Meis2	PROKR1
Meis2	PROKR2
ETS2	ACAN
STAT3	SH2D3C
NFAT2	CADM2
GABP-alpha	TIMM8B
NeuroD	STEAP1
NeuroD	STEAP2
TEF-1	NUBPL
YY1	ERP27
NeuroD	STEAP3
NFAT2	SDF2
TEF-1	HIST2H3D
NeuroD	STEAP4
YY1	LTF
GR	OTOA
Bach2	KDM6A
Tal-1beta:E47	ATP2C1
GR	BEX4
Elk-1	MED15
LBP-1	EIF4G2
HNF4	NRG3
SOX10	FLJ90757
LBP-1	DIEXF
TEF-1	PNPO
MAFA	C17orf50
NeuroD	COLEC11
YY1	SH3RF1
MAFA	PCGF1
NeuroD	COLEC12
MAFA	PCGF2
HNF4	LSAMP
YY1	SH3RF2
NR2F1	CRABP2
HMGIY	FLJ30838
TAL1	MEOX2
alpha-CP1	C1orf183
NFAT2	CROT
YY1	SH3RF3
LEF1	SERPINE3
TEF-1	POLD4
HMGIY	BTRC
LRF	VPS13D
RSRFC4	USP2
YY1	MIR1289-2
MAFA	C17orf55
FRA1	IL7R
PUR1	WIZ
LEF1	EDNRB
NeuroD	QTRT1
HNF4	LOC338651
Bach2	WNT2B
USF	SGTA
COUP	RABGGTB
deltaEF1	MYO1D
E2A	EGR2
HNF4	ACP1
GR	LEKR1
HNF4	ACP2
HMGIY	TPMT
Bach2	RAPGEF2
GR	OTOS
USF1	DLG1
HMGIY	FAM73A
HNF4	ACP5
YY1	TBKBP1
NURR1	SCAMP1
NURR1	SCAMP2
FXR	LOC100302401
HNF4	LIN37
SOX10	CEP290
NURR1	SCAMP3
HNF4	RCCD1
FXR	CHDH
PUR1	PTGS2
Bach2	ARIH1
HMGIY	BUB1B
ETS2	UTP11L
YY1	CRADD
Myc	SFXN2
PU.1	SPINLW1-WFDC6
SOX10	RHBDD3
HNF4	NRGN
Myc	SFXN4
Nrf-1	ZAP70
E2A	SLC1A4
NURR1	POU1F1
AP-4	C17orf46
HMGIY	PRICKLE1
E2A	ARHGAP15
HNF4	OR6B3
Ets	TYROBP
RP58	LOC415056
HMGIY	MIR29C
AP-1	ADORA1
LXR	LPCAT3
AREB6	DLG3
AP-2rep	MNDA
STAT3	LOC152217
E2A	SLC34A1
AREB6	DLG4
TEF-1	OR1G1
HMGIY	PRICKLE4
LEF1	MIR199B
AP-1	ADORA3
ATF	C11orf87
IRF	SLC12A4
NF-Y	SLC1A4
NF-Y	SLC1A5
LEF1	PGM1
STAT4	LECT2
NURR1	ISPD
AP-1	SLC35E4
Lyf-1	SERTAD1
TEF-1	MTRF1
SMAD3	ODF3
TEF-1	AMMECR1L
Nrf-1	CAPNS1
IRF8	C14orf43
SOX4	ITGB3BP
ETS2	C11orf83
HSF2	HIST3H3
ETS2	C11orf84
LBP-1	NR2F1
AP-4	GMFB
ETS2	C11orf85
NFAT2	PHACTR1
ETS2	C11orf86
NURR1	CD5
NeuroD	FMO1
AP-2rep	RNF208
SOX10	FDPS
NFAT2	PHACTR2
NURR1	GPRASP2
ETS2	STAT5A
ETS2	C11orf87
NURR1	CD6
LBP-1	AGTR1
Myc	SNORD50A
NeuroD	FMO2
TBX5	PPM1M
ETS2	STAT5B
AP-2rep	MIR140
ETS2	C11orf88
Myc	SNORD50B
NeuroD	FMO3
HNF4	IL10
LBP-1	NR2F6
HMGIY	TRMT5
NeuroD	FMO4
HNF4	ACPP
Barhl2	LINS
NURR1	CD9
GABP-alpha	ERP44
c-Ets-1	TPP2
AP-2rep	MIR144
CTCF	STAG1
SOX10	PNPT1
HNF4	ACPT
MAFA	VWA3A
HNF4	IL15
HNF4	IL16
E2A	PLEC
MAFA	VWA3B
PU.1	DKFZP686I15217
LM4_M2	FTSJ1
HNF4	IL18
NFAT2	C11orf88
TAL1	C20orf123
FXR	FKBP11
HMGIY	GRHL3
NeuroD	UBE2D1
AP-2rep	FLJ44635
MAFA	MIR3119-1
FXR	CPT1B
LBP-1	ATP5L2
RFX1	KIAA1755
ATF2:c-Jun	PPP1R15A
GLI1	CUEDC1
STAT5A	TOM1L2
IRF8	CAMK2G
NeuroD	UBE2D2
MAFA	MIR3119-2
AREB6	TRPT1
NeuroD	NKX3-2
HNF4	MIR181B1
FXR	FKBP14
NeuroD	UBE2D3
FXR	FKBP15
HMGIY	SLC20A1
MEF2A	ESR1
YY1	TCF3
GR	FSCB
PR	FOLR4
NeuroD	FMOD
LBP-1	ZNF335
YY1	TCF4
TEF-1	YTHDC2
STAT4	TIGD1
HNF4	IL1B
GABP-alpha	MIR328
NFE2L2	HSPA9
FXR	GOLPH3L
STAT4	TIGD2
NeuroD	C22orf41
STAT4	TIGD3
MAFA	CASK
GR	LRGUK
TEF-1	DIS3L
HNF4	DDX60
YY1	TCF7
STAT4	TIGD4
HNF-4	TP53
TCF-4	CPSF4L
NeuroD	C22orf46
STAT5A	AVP
STAT6	RAVER1
ETS2	KRTAP1-1
YY1	GGCT
TEF-1	GMDS
TEF-1	MORN1
MAFA	DDX20
AP-1	GRIA1
TEF-1	MORN4
TEF-1	SEC24B
SF1	CAMK2G
MAFA	CAST
TEF-1	LOC100128164
TEF-1	SEC24C
c-Myc:Max	IFRD2
FXR	THRAP3
PU.1	SNORD35B
HNF4	TMEM9
YY1	PCDHA11
CAR	PDGFRL
NF-Y	TMEM189-UBE2V1
STAT6	BCL2L1
USF1	SLC6A15
MAFA	DDX25
MAFA	CPXCR1
RFX1	FXYD7
HoxB5	MIR3942
STAT6	BCL2L2
REST	CELSR3
YY1	CLMN
AP-4	MIR1231
TCF-4	LONRF1
TEF-1	CRNN
YY1	CLMP
TEF-1	NTPCR
NURR1	ABCC10
SOX4	SLC4A1AP
TEF-1	C1orf31
NURR1	ABCC13
NeuroD	POLR1A
Ebox	TWIST1
PXR(PXR:RXR)	HEPHL1
YY1	ABI2
YY1	ABI3
ETS2	SEC11A
NeuroD	POLR1C
MAFA	KPRP
NeuroD	POLR1D
SOX10	ERC1
Myc	LOC401397
NeuroD	POLR1E
LM4_M2	HMG20A
STAT6	TNFRSF8
HSF2	GRM3
PU.1	NPVF
NURR1	CSPG4
ETS2	RPL13AP3
MAFA	MADD
TEF-1	RETNLB
ICSBP	BHLHE22
LBP-1	CLEC17A
ETS2	MYEF2
GR	MGST1
STAT3	SH2D4B
TCF-4	LOC401387
FXR	NISCH
GABP	MGC72080
ETS2	RPL13AP5
SOX10	SSH2
STAT3	NIN
LBP-1	APOA1
GABP-alpha	LOC100133315
SOX10	SSH3
YY1	KIAA1107
LBP-1	APOA2
E2A	HMGCLL1
NF-kappaB(p65)	BCL3
SOX10	SHANK2
E2A	TMEM184A
LBP-1	LOC100131244
Myc	POU6F1
LBP-1	APOA4
YY1	KIAA1109
LBP-1	APOA5
E2A	TMEM184C
STAT6	C22orf29
Nrf-1	LENG1
RelB:p52(NF-kappaB)	NFAT5
STAT1:STAT1	DACT1
AP-4	CYTL1
Staf	UBA1
NFAT2	LOC386758
SOX10	NDNL2
LEF1	NDUFAF4
TEF-1	PCBP1
TEF-1	PCBP2
TEF-1	PCBP3
RORA_1	CPEB3
TEF-1	ARHGAP10
MAFA	C17orf61
NURR1	EIF2A
Nrf-1	AIFM1
TEF-1	PCBP4
HNF4	AHCYL1
Nrf-1	LENG8
YY1	MIR7-1
SMAD	SLC30A10
TEF-1	ARHGAP12
ETS2	GPBP1L1
YY1	MIR7-2
TEF-1	POLE4
ETS2	RYK
STAT5A(homodimer)	FANCM
STAT6	FBXW11
MAFA	C17orf65
TEF-1	ARHGAP15
TEF-1	TMEM161A
MAFA	C17orf66
NKX6.1	NEO1
TEF-1	ARHGAP17
STAT6	MIR876
TEF-1	TMEM161B
SF1	COL6A6
SOX10	RNF2
HMGIY	MYF5
TEF-1	ARHGAP18
GLI	DLGAP4
FXR	PIH1D1
HNF4	NME1-NME2
USF	SUPV3L1
NF-Y	OS9
MAFA	IFNK
STAT6	PPFIA4
TEF-1	UBE2J1
TEF-1	MIMT1
NeuroD	LOC100169752
YY1	LOC100505832
STAT4	KCNH2
STAT4	PCDHAC2
ATF	EFR3A
Myc	NFIL3
STAT4	ARGFXP2
AP-1	MALT1
USF	BOD1P
Nrf-1	AMACR
ETS2	OR12D2
LEF1	MKRN7P
LM4_M2	SEZ6
NFE2L2	ANXA7
NeuroD	MBLAC1
YY1	PLXNA1
Myc	THNSL1
AP-2rep	NCRNA00184
E2A	ARHGAP20
NeuroD	MBLAC2
YY1	PLXNA2
Nrf-1	L3MBTL1
YY1	PLXNA3
PU.1	EOMES
alpha-CP1	LOC100129858
YY1	PLXNA4
Nrf-1	DNAJC13
E2A	ARHGAP22
CTCF	IGSF8
E2A	ARHGAP23
Nrf-1	VPS26B
Nrf-1	L3MBTL3
PUR1	ASAP3
PU.1	IRAK1
STAT6	GSDMA
STAT6	GSDMB
Nrf-1	DNAJC17
PU.1	IRAK4
E2A	IL3
STAT6	GSDMC
E2A	ARHGAP27
HNF4	NCAPD2
ETS2	LOC100289361
RORA_1	RARA
ATF	C11orf96
HNF4	NCAPD3
PKNOX2	LOC100505918
STAT	POU4F1
E2A	ARHGAP29
NF-Y	OSM
PU.1	FCAMR
POU2F3	MIR3143
NURR1	TFAP2A
E2A	IL8
LBP-1	SCN7A
ETS2	C11orf90
NURR1	TFAP2C
AP-2rep	RNF213
NURR1	STAT3
LBP-1	GTDC1
PU.1	MIF4GD
NURR1	TFAP2D
HNF4	THNSL2
AP-2rep	RNF215
SF1	MAP2K7
NFAT2	ARRB1
YY1	FLOT1
NURR1	TFAP2E
NF-E2	CPA6
GR	PI4K2A
CREB	LOC100131801
HMGIY	SLC35D2
PUR1	CD3EAP
GR	FSD1
HNF4	VPS33B
HNF4	IL20
SOX4	CBFA2T3
Nrf-1	RAGE
HNF4	IL21
ETS2	STRN3
HNF4	IL22
NFAT2	C11orf92
STAT3	MCMBP
NFAT2	C11orf93
HOXA3	WNT5A
E2A	PMP22
GR	TXNL4B
Myc	SSTR1
HNF4	IL25
FXR	TP53BP1
NURR1	FANCB
HNF4	IL27
TEF-1	ACTC1
SOX10	FAS-AS1
Staf	SNORA51
HNF4	IL29
YY1	CLN3
Tal-1beta:E47	TJAP1
NURR1	FANCE
TEF-1	RB1
NURR1	FANCF
TERALPHA	TNNT3
Staf	SNORA52
LBP-1	H1F0
LBP-1	ASPH
NeuroD	UBE2E1
MAFA	E2F1
YY1	CLN6
LM4_M2	ESPL1
CTCF	GRIK4
NeuroD	UBE2E2
c-Ets-1p54	DNMT1
LBP-1	NOS2
TEF-1	IDUA
NeuroD	UBE2E3
LBP-1	ZNF341
TEF-1	FNBP4
LBP-1	NOS3
MAFA	E2F3
MAFA	E2F4
STAT5A	C22orf31
YY1	ATP5A1
NRSF	CTXN2
MAFA	E2F5
E2A	FAM18A
NURR1	FANCM
FXR	PDHX
LBP-1	ASPN
TCF-4	NAALADL2
NURR1	OTUD6A
LEF1	LOC284688
Ebox	RUNX1
GABP	FUZ
LBP-1	ZNF345
STAT5A	LRRC29
MAFA	E2F7
GR	MIR128-2
STAT3	LOC100288797
FXR	SASH3
TAL1	NBL1
NFE2L2	HIC1
PU.1	LYG2
TEF-1	FNBP1L
HNF4	MAP1LC3B2
Myc	ICA1
NURR1	ASTN2
PU.1	SPOP
TEF-1	ANUBL1
LBP-1	MAPRE2
NFAT2	ZNF644
NUR77	PLVAP
HNF4	ATP7B
STAT3	PACS1
PUR1	SPTB
Myc	USPL1
TEF-1	SGPP2
CREB	ADAP1
RORA_1	ABHD3
HMGIY	GSG1L
NURR1	TEP1
MAFA	NEURL
HMGIY	PPP2CA
LBP9(Tcfcp211)	EIF3D
STAT6	C10orf71
Bach2	MIR605
HNF4	PRIC285
YY1	PTPRA
STAT6	C10orf72
NeuroD	NDP
COUP-TF	RDBP
Vax-2	TCF7L2
YY1	PTPRB
HMGIY	LOC390940
YY1	PTPRC
SOX9	CIB4
SOX10	SDCCAG8
NeuroD	RAD54L2
YY1	PTPRD
LBP-1	GEMIN4
YY1	PTPRE
LBP-1	GEMIN5
c-Rel	CLIC2
ETS2	OR7D4
NeuroD	POLR2A
HNF4	GLB1L2
SOX10	RNF11
AREB6	HEMGN
NeuroD	SNORD73A
c-Myc:Max	KIAA1239
TEF-1	C1orf43
SOX10	DMRTA2
NeuroD	POLR2C
c-Rel	CLIC5
TEF-1	CROT
YY1	DKFZP434I0714
REL	AFF2
PUR1	MIR1470
FXR	FDX1
NeuroD	POLR2D
ERR2(ESRRB)	MTX2
PUR1	LOC100132273
HNF4	PHGDH
ERR2(ESRRB)	MTX3
YY1	PTPRM
STAT6	RRN3P3
SOX4	FDFT1
USF1	TMEM200B
YY1	PTPRO
TEF-1	C1orf49
RFX1	PTPN1
SOX10	GIT1
LBP-1	SGOL2
YY1	PTPRQ
NeuroD	POLR2J
STAT6	C22orf33
STAT4	SNORD116-3
YY1	PTPRR
En-1	ARFGAP2
NeuroD	POLR2K
LBP-1	DCST1
Myc	HOXD10
STAT4	SNORD116-4
NeuroD	POLR2L
STAT6	MALAT1
YY1	PTPRT
YY1	MYL12A
STAT4	SNORD116-5
PUR1	CYP26A1
YY1	MYL12B
AP-1	MTMR2
YY1	PTPRU
STAT4	SNORD116-7
RFX1	BDP1
Elk-1	COL24A1
HNF4	SLC34A2
AP-1	MTMR4
NUR77	IGF1
Nrf-1	MAP3K11
Nrf-1	ZFP14
STAT4	SNORD116-9
FXR	POLRMT
STAT4	FREM2
MAFA	NAALAD2
STAT6	ZNF207
Nrf-1	MAP3K14
STAT4	ITIH2
LRF	TENC1
STAT4	C10orf105
HEB	VWA5B2
PXR(PXR:RXR)	CA2
MAFA	C17orf70
NURR1	TEPP
Nrf-1	CTSF
TEF-1	ARHGAP20
AR	CTNNA2
PXR(PXR:RXR)	CA3
STAT3	PODXL
ETS2	JDP2
Gbx2	AHCYL2
ETS2	MIR548F2
STAT4	ITIH5
TEF-1	ARHGAP21
STAT6	FLYWCH2
TEF-1	ARHGAP22
STAT3	CST9
LRF	POU2F2
MAFA	C17orf73
TEF-1	ARHGAP23
NURR1	EIF3C
AP-1	TXNL4A
MAFA	C17orf74
ETS2	MIR548F5
TEF-1	ARHGAP24
ETS2	LOC643037
NURR1	EIF3E
TEF-1	ARHGAP25
MAFA	C17orf76
NURR1	EIF3F
HMGIY	CASC2
FLI1	ELF2
TEF-1	ARHGAP26
TEF-1	ARHGAP27
HMGIY	CASC3
HMGIY	DEF6
NURR1	EIF3H
AP-2rep	MIR3074
MAFA	C17orf79
HMGIY	CASC5
NURR1	EIF3I
STAT6	MIR888
TEF-1	ARHGAP29
STAT6	MIR889
SOX10	OR5AP2
NFAT2	MIR548F3
NFAT2	SDHC
HNF4	LIN52
TEF-1	DRAM1
TEF-1	DRAM2
HNF4	LIN54
IPF1	CWC22
TEF-1	HRH1
NFAT2	MGC2889
SF1	FAM71F1
Myc	ZDHHC8
ETS2	FIZ1
MAFA	CTIF
FXR	RECQL4
TEF-1	HRH3
STAT6	MYCT1
STAT4	BDH2
AP-4	TCF7L1
TEF-1	HRH4
ATF2	TAF4B
AP-2rep	RUNX1T1
YY1	PLXNB1
AP-2rep	LOC100507391
YY1	PLXNB2
p53decamer	CLPX
AP-4	OTUB1
E2A	ARHGAP30
ATF1	MYCBPAP
SOX4	ACP1
YY1	PLXNB3
MEF2A	SLC26A6
AP-4	C17orf64
USF	DNAH9
LBP-1	APOBR
CTCF	RNF126
STAT5A	ACADSB
Nrf-1	DNAJC25
Myc	DERL1
E2A	ARHGAP36
Myc	DERL3
Nrf-1	DNAJC28
TCF4	PIM1
NURR1	ADSS
NURR1	STAU1
SMAD	PTPRB
LBP-1	SCN8A
MAFA	HAMP
HNF4	NLK
ETS2	PPWD1
NF-Y	OTP
PUR1	GPR114
MAFA	SET
STAT5A	RAB7L1
LBP-1	PRPF18
AML1	PTGDR
Elk-1	B3GAT3
SOX4	FGA
IRF8	NLN
E2A	BTF3L4
SOX4	FGB
NeuroD	KRT33B
HMGIY	SLC35E3
AP-2rep	GFI1B
HMGIY	SLC35E4
NURR1	LOC100131496
AP-2rep	ITLN1
SMAD	PTPRK
Elk-1	ETAA1
Tal-1alpha:E47	KIAA1522
HMGIY	RAB39B
HNF4	IL34
NeuroD	OR13C3
STAT5B(homodimer)	PHACTR3
NFE2L2	FXR2
NeuroD	GRINL1A
MAFA	VWA5A
AP-2rep	FAM60A
OCT-x	MIR135A2
NURR1	LIFR
NF-Y	CDC42EP4
TEF-1	GMFB
STAT3	FAM96A
NURR1	ANKRD12
LBP-1	CDC6
AP-2rep	FLJ33360
SOX4	IL10
NURR1	CFB
SOX4	ACPP
Nrf-1	ACAT2
LBP-1	CDC7
NURR1	CFD
ETS2	DAPP1
STAT3	EDIL3
STAT3	LOC100130894
NURR1	ANKRD16
AP-4	BMP3
PU.1	TUSC5
SOX10	LIM2
NURR1	OTUD7A
STAT4	PEMT
AP-4	P2RY4
YY1	SEC16B
NURR1	OTUD7B
NURR1	CELA2A
E2A	RPS6KA3
PPARgamma:RXRalpha	RREB1
NF-Y	STC1
FXR	SKI
E2A	RPS6KA4
TEF-1	CFLP1
HSF	PPP1R9A
NURR1	CELA2B
NeuroD	NEB
TEF-1	SLC36A1
LRF	DNAJC11
NURR1	CABIN1
Nrf-1	TDG
PPARdirectrepeat1	ETFDH
E2A	LOC728192
STAT6	PGAP1
NeuroD	WSCD1
ETS2	FURIN
USF1	LAMP1
LEF1	LPPR1
deltaEF1	RPS5
FOXA1	FOXB1
YY1	OVCH2
SOX4	PIK3R5
TEF-1	UNKL
NeuroD	STXBP1
NeuroD	STXBP2
SOX4	PIK3R6
USF1	CEP120
STAT4	HIC2
MAFA	ANKFY1
NeuroD	STXBP4
MAFA	DDX41
Pax-4	FYN
TCF-4	SPARCL1
LBP-1	BICC1
PUR1	KRT74
NeuroD	STXBP5
NeuroD	STXBP6
PXR	RB1CC1
TGIF1	CACNA1S
Myc	TNS4
LBP-1	BRWD3
NF-E2	PLEC
MAFA	MPPED1
PUR1	KRT77
AP-2rep	PPARGC1B
ETS2	RTN4R
PUR1	KRT78
MAFA	MPPED2
STAT6	C10orf82
PUR1	KRT79
FLI1	ZFHX3
HMGIY	TPP1
YY1	TCHH
GR	VEPH1
TEF-1	C1orf50
AREB6	UCHL5
HNF4	DKFZP434K028
TEF-1	C1orf51
MAFA	KPTN
TEF-1	C1orf52
SOX10	DMRTB1
NeuroD	POLR3B
TEF-1	C1orf53
YY1	HSD17B12
TEF-1	C1orf54
PXR(PXR:RXR)	C6orf174
SOX10	RNF24
AP-1	ROCK1
STAT6	NOTUM
CTCF	GJA3
c-Myb	RAPSN
HNF4	PRMT1
NeuroD	POLR3E
TEF-1	C1orf56
YY1	MIR2355
NeuroD	POLR3F
HNF4	TDP1
SOX10	RNF26
STAT4	DNM3
NFAT2	BMP2
YY1	G6PC3
TEF-1	ACAP1
PUR1	SOAT2
NeuroD	POLR3G
MIF-1	C7orf72
AP-4	NEDD4L
NFAT2	BMP3
TEF-1	ACAP2
E2A	EWSR1
Nrf-1	MAPT
HNF4	PRMT5
PU.1	MIR1537
REST	GTPBP3
HNF4	PRMT7
NeuroD	POLR3K
MATH1	CDKL4
ATF	AMOTL2
LBP-1	APOC1
HNF4	PRMT8
STAT6	C22orf45
STAT6	ZNF211
ER	RASIP1
LBP-1	APOC3
STAT6	ZNF212
NF-Y	ANKHD1-EIF4EBP3
NF-Y	KRT72
STAT6	ZNF214
Oct-1	C8orf41
Nrf-1	APC
SOX10	SMEK1
c-Rel	SIN3A
LBP-1	TRNAU1AP
Oct-1	C1R
STAT4	C10orf113
Nrf-1	EEF2
HNF4	STK11
TEF-1	KRTAP17-1
N-Myc	GDI2
STAT4	C10orf114
STAT4	GALR1
FXR	SIGLEC14
FXR	NT5C1A
SAP-1a	FLJ31306
STAT6	MIR890
NeuroD	THSD7A
FXR	NT5C1B
TEF-1	ARHGAP31
MAFA	C17orf82
PPARalpha:RXRalpha	ESRRA
TEF-1	ARHGAP32
NeuroD	THSD7B
TEF-1	ARHGAP33
HNF4	STK16
HNF4	CCBE1
HMGIY	MYH1
Tel-2	SCYL2
Arnt	FLJ35024
HMGIY	MYH2
MAFA	C17orf85
STAT4	RORA
NFAT2	GSK3B
STAT6	OR5R1
Lyf-1	UROS
NFAT2	CLIC1
SPI-B	OSTF1
Ebox	HOXC13
NURR1	EIF4H
MAFA	C17orf89
HMGIY	MYH6
TCF-4	PMCH
NeuroD	C12orf4
TEF-1	ARHGAP39
STAT6	ZMYND8
FXR	CHGA
PU.1	GYPC
SOX10	FLJ37453
FXR	CHGB
LBP-1	HSPE1-MOBKL3
Meis2	SENP2
MEIS1	DKFZp686K1684
SF1	RS1
NURR1	OPHN1
STAT4	KCNJ1
HMGIY	FHDC1
FXR	CSN1S1
NeuroD	EFEMP1
STAT4	KCNJ4
NeuroD	EFEMP2
TEF-1	UBE2L6
LEF1	MIR9-2
LBP-1	LEPR
STAT4	LRRN3
STAT4	LRRN4
USF	NT5C
STAT3	SLC9A5
YY1	IQCJ-SCHIP1
SOX10	TEX9
YY1	PLXNC1
FXR	LOC727677
STAT1	FKBP3
STAT4	KCNJ8
STAT3	SLC9A7
TEAD1	CCDC77
NF-kappaB	PARK7
STAT1	FKBP5
AP-1	PRKAG2
AP-4	C17orf74
USF	NUP98
HMGIY	OR2A12
FXR	HDAC10
HNF4	NMB
NeuroD	TMBIM1
LBP-1	LOC100271702
AP-2rep	APBA1
FXR	HDAC11
PUR1	SCUBE1
AP-2rep	APBA2
AP-1	REP15
ETS2	SH3RF1
NeuroD	TMBIM4
ETS2	SH3RF2
ETS2	SH3RF3
MAFA	SFN
STAT4	HIVEP1
MAFA	OR6A2
USF	GPRIN2
LBP-1	SCN9A
HNF4	NMI
LEF1	FAAH
STAT4	TYRP1
USF	GPRIN3
NeuroD	CYP19A1
HEB	SLC44A1
ERR2(ESRRB)	SYT2
MAFA	CAV1
MAFA	CAV2
GR	LOC100507582
Nrf-1	NFS1
NF-Y	NUP214
HMGIY	SLC35F1
AP-2rep	SNORA70C
HNF4	ITGB1BP1
HMGIY	KRTAP21-3
c-Myc	TFRC
TEF-1	GADL1
YY1	DOC2A
HNF4	POU4F1
FXR	EIF1B
HMGIY	SLC35F5
HNF4	POU4F2
LBP-1	ENHO
NeuroD	NF1
PUR1	FBRSL1
Lyf-1	ALPL
NeuroD	NF2
USF1	NCRNA00245
USF1	C6orf174
TEF-1	HNRNPA0
FOXA1	ADAM15
TEF-1	HNRNPA1
ETS2	LOC100132774
STAT3	SELK
HNF4	MSRB3
YY1	CLP1
TEF-1	HNRNPA3
ETS2	TPRG1L
PU.1	SCYL1
ETS2	CRIM1
NURR1	CGB
NeuroD	UBE2G1
ETS2	MSX1
SOX10	CHAT
MAFA	CLCN1
AP-1	BACH1
ETS2	MSX2
NURR1	ANKRD23
NURR1	ANKRD24
MAFA	CLCN3
SMAD	API5
NURR1	CD109
TCF-4	ERRFI1
SOX4	IL24
MAFA	CLCN5
LBP-1	ZNF362
CACCC-bindingfactor	MAP1A
SOX4	IL25
STAT5A	LRRC48
CACCC-bindingfactor	MAP1B
NURR1	ANKRD28
GR	NPEPL1
NURR1	ANKRD29
E2A	INS
TEF-1	YTHDF2
NURR1	SH3BP5L
ETS2	CMIP
SMAD	SBNO1
NURR1	CELA3A
LBP-1	ZNF366
Nrf-1	TEF
NURR1	CELA3B
HMGIY	GRB10
NF-E2	LAMC1
LRF	DNAJC22
FXR	SLK
NFAT2	ZNF660
FXR	SLN
YY1	CLPB
SOX10	LIN9
POU2F3	GRIN3A
PU.1	PIK3R1
Pax-6	GYG1
TEF-1	LOC100128191
PUR1	KRT80
TEF-1	DNAJA1P5
Staf	SNORA7B
HNF4	LOC90784
ETS2	LOC100131257
PU.1	UACA
PU.1	PIK3R3
POU2F3	BCAR1
ELK1	DALRD3
GR	PLAGL1
ETS2	PNMA2
AP-1	GRID1
RELA	IL7R
PU.1	PIK3R5
MAFA	NFIA
AP-2rep	LOC148696
PU.1	PIK3R6
MAFA	NFIB
LBP-1	BICD2
PUR1	KRT85
NeuroD	AMZ1
ETS2	PNMA5
AREB6	DAAM1
E2A	HSP90B1
FLI1	C18orf19
NeuroD	ALS2CR12
FXR	FCER2
HMGIY	NDRG2
c-Rel	SELE
ETS2	KIAA0087
STAT6	C10orf93
MAFA	LOC645323
NeuroD	LOC147727
TEF	KIAA1199
TEF-1	YPEL1
PARP	BRD8
TEF-1	YPEL2
Meis1	DLEU1
MAFA	CELF1
NF-kappaB	MIR384
NURR1	IL18R1
TEF-1	YPEL3
HMGIY	C4orf3
MAFA	CELF2
TEF-1	C1orf61
HNF4	PGBD3
MAFA	CELF3
PU.1	TBRG4
YY1	ABL1
SOX10	DMRTC2
MAFA	CELF4
NFAT2	KIAA0087
TEF-1	YPEL5
YY1	ABL2
HEB	PRELID1
MAFA	ATP5J
NFAT2	METTL23
